,renewables_electricity,renewables_consumption
864,5.242000000000001,
865,5.5870000000000015,
866,5.5729999999999995,
867,3.7,
868,6.149,
869,6.824,
870,6.942,
871,7.501,
872,8.006,
873,8.17,
874,8.326,
875,5.809,
876,5.551,
877,5.605,
878,6.0070000000000014,
879,6.063,
880,4.144,11.511
881,2.932,8.092
882,3.577,9.808
883,5.892,16.052
884,5.9179999999999975,16.017
885,6.4060000000000015,17.230999999999998
886,7.68,20.526
887,4.595,12.203
888,5.751,15.179
889,8.185,21.473000000000006
890,10.522,27.435
891,8.144,21.101999999999997
892,10.151,26.147
893,14.35,36.736999999999995
894,12.175999999999998,30.989
895,14.85,37.567
896,14.892999999999999,37.453
897,13.800999999999998,34.503
898,16.148,40.135
899,15.807,38.541
900,3.283,
901,2.964,
902,2.752,
903,4.277,
904,4.169,
905,4.3180000000000005,
906,4.606,
907,4.711,
908,4.794,
909,4.3069999999999995,
910,5.629,
911,5.864,
912,6.4239999999999995,
913,6.994,
914,7.392,
915,6.718999999999999,
916,7.354,
917,8.984,
918,8.658999999999999,
919,8.064,
920,0.040999999999999995,
921,0.047,
922,0.055999999999999994,
923,0.051,
924,0.055999999999999994,
925,0.045,
926,0.045,
927,0.047,
928,0.045,
929,0.046,
930,0.01,
931,0.013000000000000001,
932,0.019,
933,0.022000000000000002,
934,0.022000000000000002,
935,0.028999999999999998,
936,0.022000000000000002,
937,0.019,
938,0.019,
939,0.013999999999999999,
940,0.28,
941,0.28,
942,0.257,
943,0.252,
944,0.257,
945,0.262,
946,0.268,
947,0.152,
948,0.179,
949,0.205,
950,0.17600000000000002,
951,0.121,
952,0.221,
953,0.142,
954,0.091,
955,0.085,
956,0.071,
957,0.127,
958,0.196,
959,0.23399999999999999,
960,2.238,
961,1.8940000000000001,
962,1.61,
963,1.76,
964,1.4609999999999999,
965,1.86,
966,2.191,
967,2.3369999999999997,
968,2.465,
969,2.937,
970,3.495,
971,3.4410000000000003,
972,3.638,
973,3.623,
974,3.358,
975,3.923,
976,4.579,
977,5.557,
978,6.365,
979,6.808,
980,0.243,0.675
981,0.257,0.7090000000000001
982,0.237,0.65
983,0.336,0.915
984,0.9359999999999999,2.5340000000000003
985,1.87,5.03
986,1.494,3.991
987,1.882,5.002
988,2.3569999999999998,6.222
989,2.895,7.595
990,3.0189999999999997,7.856
991,2.708,7.018
992,2.6460000000000004,6.819
993,2.787,7.138
994,3.1510000000000002,8.017999999999999
995,3.2289999999999996,8.169
996,3.258,8.193
997,3.4819999999999998,8.703
998,3.753,9.298
999,4.73,11.084000000000001
1000,7.615,21.314
1001,7.962999999999999,22.143
1002,8.34,23.035
1003,8.423,23.122
1004,8.548,23.31900000000001
1005,8.611,23.333000000000002
1006,9.853,26.52
1007,11.890999999999998,31.807
1008,16.340999999999998,43.465
1009,16.709,44.159
1010,16.744,44.475
1011,16.849,44.595
1012,17.293,45.193999999999996
1013,17.995,46.375
1014,17.8,46.113
1015,18.554000000000002,47.54600000000001
1016,18.169,46.64
1017,18.844,48.091
1018,19.43,49.278
1019,19.262,48.245
1020,76.755,223.248
1021,77.033,210.593
1022,72.27600000000002,199.877
1023,85.464,203.65200000000002
1024,96.009,295.973
1025,105.949,289.51
1026,123.069,341.441
1027,136.238,377.07
1028,138.327,367.38599999999997
1029,136.014,352.61800000000005
1030,145.82399999999996,371.945
1031,174.62099999999995,450.751
1032,168.59799999999996,426.26599999999996
1033,192.275,481.82300000000004
1034,199.063,514.809
1035,188.58700000000002,503.094
1036,199.483,525.5169999999998
1037,223.857,588.75
1038,254.535,653.641
1039,286.385,736.188
1040,14.790999999999999,41.357
1041,17.578,48.818999999999996
1042,16.083,44.354
1043,15.317,41.958
1044,16.252,44.231
1045,17.244,46.641999999999996
1046,16.217,43.58
1047,18.23,49.086999999999996
1048,19.769000000000002,52.815
1049,20.628,56.218
1050,26.738000000000003,72.085
1051,21.888,60.047
1052,22.366999999999997,63.70399999999999
1053,26.354,77.26
1054,26.018,81.325
1055,24.796999999999997,69.175
1056,30.971999999999998,102.079
1057,32.074,102.819
1058,49.13399999999999,112.294
1059,47.663000000000004,150.75
1060,0.605,8.879
1061,0.612,10.214
1062,0.512,12.503
1063,0.429,12.957
1064,0.488,15.565
1065,5.94,13.164000000000001
1066,6.035,13.34
1067,5.678999999999999,12.129000000000001
1068,3.45,7.74
1069,3.195,7.425
1070,4.718,9.426
1071,3.363,8.81
1072,4.348,11.325
1073,4.755,11.918
1074,2.9589999999999996,7.3610000000000015
1075,2.5780000000000003,6.586
1076,3.3939999999999997,8.622
1077,2.211,5.5829999999999975
1078,1.857,4.66
1079,2.51,6.277
1080,1.186,3.292
1081,1.0270000000000001,2.8339999999999996
1082,1.382,3.787
1083,1.138,3.1010000000000004
1084,1.3940000000000001,3.7739999999999996
1085,1.8730000000000002,5.04
1086,2.475,6.6160000000000005
1087,2.795,7.425
1088,3.5869999999999997,9.471
1089,4.109,10.78
