,fossil_fuel_consumption,co2
1007,11.57,3.4960000000000004
1008,10.64,3.811
1009,9.861,3.728
1010,9.543,3.625
1011,9.428,3.5010000000000003
1012,9.363,3.497
1013,9.903,3.483
1014,10.068,3.459
1015,11.0,3.536
1016,12.183,3.487
1017,13.438,3.605
1018,14.183,3.663
1019,12.561,3.551
1020,3438.942,978.919
1021,3462.548,992.56
1022,3643.887,1023.027
1023,3793.599,1059.616
1024,3988.063,1125.471
1025,4263.618,1185.953
1026,4447.593,1259.744
1027,4833.655,1358.152
1028,5149.306,1462.815
1029,5582.255,1612.817
1030,5833.073,1677.888
1031,6099.206,1780.13
1032,6464.328,1963.586
1033,6676.501,2036.937
1034,7136.279,2185.856
1035,7391.897,2268.567
1036,7731.248,2382.223
1037,8021.763000000001,2433.856
1038,8499.809000000001,2599.806
1039,8612.962,2625.968
1040,1142.325,274.72700000000003
1041,1204.054,303.341
1042,1264.2,310.818
1043,1366.902,340.441
1044,1357.615,344.394
1045,1389.855,348.98900000000003
1046,1413.781,346.706
1047,1514.894,388.255
1048,1490.961,366.293
1049,1543.179,401.957
1050,1683.84,451.931
1051,1856.241,504.762
1052,1955.309,521.528
1053,2025.581,496.074
1054,1888.559,498.973
1055,1903.847,551.475
1056,1925.585,560.846
1057,2000.617,575.1759999999999
1058,2172.531,614.884
1059,2324.6020000000008,660.5939999999999
1060,291.275,71.71600000000001
1061,327.466,84.556
1062,306.597,86.322
1063,282.358,90.785
1064,299.644,113.635
1065,289.031,112.764
1066,295.343,97.965
1067,315.215,61.169
1068,331.694,91.803
1069,371.496,102.969
1070,394.329,110.066
1071,417.883,135.274
1072,442.372,152.815
1073,476.763,163.67700000000002
1074,460.224,165.15099999999998
1075,459.703,165.64700000000002
1076,530.408,194.361
1077,525.6569999999998,211.703
1078,552.205,211.326
1079,612.215,222.991
1080,169.213,45.249
1081,180.033,47.607
1082,177.832,46.081
1083,173.824,45.683
1084,175.476,46.166
1085,182.05,48.156000000000006
1086,184.354,47.604
1087,189.228,47.664
1088,185.888,47.367
1089,167.19299999999996,42.18
1090,167.613,41.794
1091,154.085,38.097
1092,152.73,38.242
1093,148.385,37.292
1094,145.984,36.909
1095,152.059,38.688
1096,160.056,40.156
1097,156.87,39.133
1098,157.688,39.195
1099,153.732,37.275
1100,233.61900000000003,59.519
1101,232.563,63.024
1102,235.88,59.301
1103,242.429,62.415
1104,245.382,58.679
1105,253.346,56.524
1106,253.141,62.149
1107,267.096,62.8
1108,271.305,67.98
1109,259.632,63.861
1110,275.032,68.28699999999999
1111,281.18,68.595
1112,293.194,74.785
1113,271.903,63.132
1114,266.349,60.352
1115,280.265,62.975
1116,283.943,61.219
1117,297.039,58.873000000000005
1118,297.284,60.54600000000001
1119,305.526,62.394
1120,1939.972,470.49300000000005
1121,1942.017,470.576
1122,1942.758,478.005
1123,2015.524,495.965
1124,2033.519,501.568
1125,2052.189,502.26
1126,2036.617,496.892
1127,2004.721,490.603
1128,1942.317,478.903
1129,1769.473,424.739
1130,1806.89,436.154
1131,1745.745,424.278
1132,1667.519,403.447
1133,1530.118,369.834
1134,1411.109,349.582
1135,1481.703,361.302
1136,1503.792,358.061
1137,1533.07,352.85
1138,1517.578,349.02
1139,1482.024,339.772
1140,,10.314
1141,,10.576
1142,,10.203
1143,,10.667
1144,,10.574000000000002
1145,,10.417
1146,,11.577
1147,,10.749
1148,,10.78
1149,,7.934
1150,,7.677
1151,,8.256
1152,,7.912999999999999
1153,,8.492
1154,,7.697
1155,,7.995
1156,,8.163
1157,,7.797999999999999
1158,,8.039
1159,,8.045
1160,4961.77,1264.375
1161,4913.257000000001,1249.766
1162,4918.99,1279.12
1163,5094.962,1287.468
1164,5021.134,1282.862
1165,5142.846,1290.371
1166,5069.777,1267.362
1167,5115.193,1303.134
1168,5108.512,1232.314
1169,4533.407,1163.213
1170,4796.607,1214.816
1171,4853.726,1264.866
1172,5198.311,1306.01
1173,5136.163,1315.3429999999998
1174,5000.09,1263.729
1175,4863.212,1223.396
1176,4772.839,1203.718
1177,4766.34,1188.123
1178,4664.021,1143.458
1179,4536.13,1105.929
1180,,15.2
1181,,15.61
1182,,16.42
1183,,16.982
1184,,18.671
1185,,20.437
1186,,20.526
1187,,21.436
1188,,20.718000000000004
1189,,21.337
1190,,20.615
1191,,21.244
1192,,23.814
1193,,23.813
1194,,25.895
1195,,25.556
1196,,24.346
1197,,25.561
1198,,25.26
1199,,25.745
1200,351.973,149.054
1201,397.46,143.585
1202,405.304,161.037
1203,449.783,178.96200000000002
1204,480.187,188.547
1205,506.101,201.8
1206,536.5740000000002,221.13
1207,599.243,227.55
1208,635.31,228.67
1209,574.1419999999998,223.11
1210,617.508,249.067
1211,682.715,239.66
1212,709.0419999999998,245.836
1213,717.908,253.729
1214,727.549,279.032
1215,715.427,288.582
1216,720.9169999999998,288.686
1217,764.4830000000002,307.909
1218,848.52,317.28
1219,834.317,295.869
1220,,10.390999999999998
