,fossil_prod_change_twh,solar_electricity,wind_electricity,hydro_electricity,biofuel_electricity,nuclear_electricity
2148,0.0,0.004,1.9980000000000002,69.069,10.337,63.888999999999996
2149,0.0,0.006999999999999999,2.491,65.852,11.46,52.173
2150,0.0,0.009000000000000001,3.487,66.398,12.190999999999999,57.828
2151,0.0,0.011000000000000001,6.107,66.434,11.536,60.475
2152,0.0,0.019,7.164,78.932,12.194,64.03699999999999
2153,0.0,0.035,9.842,61.361000000000004,11.45,66.457
2154,0.0,0.047,11.235,63.76300000000001,10.696,64.877
2155,0.0,0.09699999999999999,16.322,75.312,10.765,56.348
2156,0.0,0.14300000000000002,15.479000000000001,62.018,11.487,63.101000000000006
2157,0.0,0.23,17.609,65.143,12.075999999999999,65.696
2158,0.0,0.40700000000000003,16.623,62.21,11.913,68.54899999999999
2159,0.0,0.40700000000000003,19.92,66.568,12.873,67.176
2160,0.0,0.011000000000000001,0.003,36.466,1.746,25.124000000000002
2161,0.0,0.012,0.004,40.895,1.831,25.47
2162,0.0,0.013999999999999999,0.005,34.861999999999995,1.883,25.872
2163,0.0,0.017,0.005,34.471,1.9,26.113000000000003
2164,0.0,0.017,0.006,33.411,1.9869999999999999,25.61
2165,0.0,0.019,0.008,30.914,2.109,22.109
2166,0.0,0.023,0.015,30.649,2.334,26.373
2167,0.0,0.027000000000000003,0.016,34.898,2.303,26.489
2168,0.0,0.034,0.019,35.676,2.3890000000000002,26.275
2169,0.0,0.05,0.023,35.366,2.373,26.267
2170,0.0,0.094,0.037000000000000005,35.704,2.425,25.343000000000004
2171,0.0,0.168,0.07,32.069,2.53,25.69400000000001
2172,0.0,0.3,0.08800000000000001,38.218,2.741,24.445
2173,0.0,0.5,0.09,38.08,2.866,24.871
2174,0.0,0.8420000000000001,0.10099999999999999,37.659,3.005,26.468000000000004
2175,0.0,1.119,0.11,37.879,2.818,22.156
2176,0.0,1.3330000000000002,0.109,34.281,2.9930000000000003,20.303
2177,0.0,1.683,0.133,33.754,3.1060000000000003,19.590999999999998
2178,0.0,1.944,0.122,34.637,3.082,24.496
2179,0.0,2.1109999999999998,0.14800000000000002,37.66,3.301,25.37
2330,-10.309000000000001,0.001,0.051,13.02,0.188,83.945
2331,49.719,0.03,0.09,10.837,0.134,84.89399999999998
2332,30.73,0.33,0.28800000000000003,10.374,0.134,84.88600000000002
2333,-2.511999999999998,0.57,0.64,13.663,0.10099999999999999,78.0
2334,-140.735,0.43,1.13,8.392999999999999,0.13,83.12299999999998
2335,-117.60000000000001,0.48,1.08,5.343,0.145,82.405
2336,14.283000000000001,0.491,0.9540000000000001,7.5939999999999985,0.136,76.078
2337,-49.57,0.74,0.983,8.856,0.21,80.406
2338,7.175000000000001,1.1079999999999999,1.188,10.324000000000002,0.301,80.178
2339,-4.688,0.998,1.462,7.687,0.285,78.14399999999998
2360,-71.46000000000001,0.001,0.9470000000000001,5.086,3.9360000000000004,85.06299999999997
2361,-132.67999999999998,0.002,0.965,4.056,4.526,90.094
2362,-45.301,0.003,1.256,4.788,5.079,87.848
2363,-135.048,0.003,1.285,3.228,6.104,88.686
2364,-216.906,0.004,1.935,4.843999999999999,7.355,79.999
2365,-242.926,0.008,2.904,4.921,9.103,81.618
2366,-195.53,0.011000000000000001,4.225,4.593,9.277999999999999,75.45100000000002
2367,-90.97699999999999,0.013999999999999999,5.274,5.077,9.326,63.028
2368,-75.71900000000001,0.017,7.122000000000001,5.141,9.567,52.486000000000004
2369,-160.43499999999997,0.02,9.281,5.228,10.715,69.098
2370,-89.35999999999999,0.04,10.286,3.591,12.262,62.14
2371,-244.53900000000002,0.244,15.963,5.691,13.314,68.98
2372,-165.997,1.354,19.847,5.31,14.735,70.405
2373,-97.92,2.01,28.397,4.7010000000000005,18.101,70.607
2374,-11.788000000000004,4.053999999999999,31.959,5.888,22.62,63.74800000000001
2375,72.375,7.532999999999999,40.275,6.2970000000000015,28.469,70.345
2376,3.817000000000011,10.408,37.155,5.394,28.651,71.726
2377,-15.876000000000001,11.475,49.633,5.902,30.024,70.336
2378,32.095,12.857000000000001,56.903999999999996,5.49,32.87,65.064
2379,-1.294,12.97,64.527,5.858,33.968,57.176
2380,-129.75599999999997,0.493,5.593,270.034,60.726000000000006,753.893
2381,323.23699999999997,0.5429999999999999,6.737,208.138,49.74800000000001,768.826
2382,-463.764,0.555,10.354000000000001,255.58599999999998,53.708999999999996,780.064
2383,-220.089,0.534,11.187000000000001,267.27099999999996,53.341,763.7330000000003
2384,-19.863000000000028,0.575,14.144,259.92900000000003,53.537,788.528
2385,-234.01599999999996,0.55,17.811,263.763,54.277,781.9860000000001
2386,239.01299999999998,0.508,26.589000000000002,282.689,54.861000000000004,787.2189999999997
2387,124.51600000000003,0.612,34.45,240.614,55.538999999999994,806.425
2388,309.65599999999995,0.8640000000000001,55.363,248.543,55.034,806.2080000000003
2389,-268.6170000000002,0.8909999999999999,73.88600000000002,268.818,54.493,798.855
2390,413.6720000000001,1.212,94.652,254.702,56.089,806.9680000000003
2391,622.876,1.818,120.177,312.934,56.67100000000001,790.204
2392,456.129,4.327,140.822,271.29,57.622,769.331
2393,498.164,9.036,167.84,263.884,60.858000000000004,789.0160000000003
2394,1451.4260000000004,28.924,181.655,253.19299999999998,63.989,797.166
2395,199.0949999999999,39.032,190.71900000000002,243.989,63.632,797.178
2396,-1328.5439999999999,54.86600000000001,226.993,261.126,62.76,805.694
2397,821.3119999999999,77.27600000000002,254.303,293.839,62.762,804.95
2398,1958.4550000000002,93.365,272.65,286.619,61.901,807.084
2399,1417.0789999999993,106.89399999999999,294.906,282.613,57.507,809.409
2460,3123.3929999999996,1.069,31.480999999999998,2610.869,147.586,2497.065
2461,1703.248,1.341,38.411,2551.315,146.041,2566.265
2462,392.40799999999996,1.715,52.711999999999996,2588.042,160.20600000000005,2594.152
2463,4809.086,2.096,64.65100000000001,2603.144,169.60299999999995,2568.062
2464,5638.006,2.7710000000000004,84.742,2770.229000000001,182.995,2668.129000000001
2465,3096.675,3.844,104.69200000000001,2883.295,202.297,2677.217
2466,3140.4120000000003,5.171,132.52200000000002,2981.825,215.28599999999997,2714.879000000001
2467,2236.364,7.005,171.359,3033.772,230.265,2660.732
2468,2817.266,11.432,219.43599999999998,3156.836,255.976,2650.26
2469,-2127.143,19.415,277.639,3186.507,268.356,2612.3070000000002
2470,5228.843,30.518,346.471,3385.722,316.468,2681.4770000000008
2471,4477.975,60.01,440.54400000000004,3453.9190000000012,340.4790000000001,2570.885
2472,2484.5099999999998,95.725,531.516,3631.6940000000004,376.205,2397.98
2473,1306.548,132.293,643.259,3747.992,410.061,2414.361
2474,1630.9919999999997,197.01,720.6080000000003,3849.512,441.67900000000003,2462.99
2475,1066.0770000000002,254.668,828.648,3864.4320000000002,458.936,2496.121
2476,-1744.5149999999999,329.564,958.942,4019.5170000000003,490.82300000000004,2528.234
2477,2562.8319999999994,443.315,1135.069,4075.455,517.4830000000002,2543.99
2478,5276.385,572.908,1266.086,4209.222,556.9780000000002,2614.391
2479,1841.9300000000003,704.0239999999999,1416.9470000000001,4261.241,572.538,2720.6740000000004
