,fossil_prod_change_twh,solar_electricity
1601,32.861,0.012
1602,-11.277999999999999,0.016
1603,-28.028000000000002,0.025
1604,109.0,0.034
1605,-62.833,0.035
1606,-8.306000000000001,0.037000000000000005
1607,-25.0,0.038
1608,89.056,0.04
1609,-54.083,0.045
1610,97.667,0.055999999999999994
1611,-57.693999999999996,0.10400000000000001
1612,-10.944,0.191
1613,40.028,0.41
1614,-120.195,0.725
1615,-145.139,1.109
1616,-15.860999999999999,1.6019999999999999
1617,-57.583,2.208
1618,-62.306000000000004,3.693
1619,-42.07,5.32
1630,6.263999999999999,0.004
1631,-2.972,0.004
1632,-0.276,0.005
1633,-1.8019999999999998,0.006999999999999999
1634,-4.831,0.018000000000000002
1635,-4.9910000000000005,0.036000000000000004
1636,-3.825,0.055999999999999994
1637,0.245,0.075
1638,2.247,0.098
1639,-1.306,0.12300000000000001
1644,0.0,0.001
1645,0.0,0.001
1646,0.0,0.001
1647,0.0,0.002
1648,0.0,0.003
1649,0.0,0.004
1650,0.0,0.005
1651,0.0,0.006
1652,0.0,0.009000000000000001
1653,0.0,0.001
1654,0.0,0.001
1655,0.0,0.002
1656,0.0,0.002
1657,0.0,0.013999999999999999
1658,0.0,0.02
1659,0.0,0.022000000000000002
1673,-0.088,0.004
1674,0.187,0.004
1675,-3.981,0.004
1676,-0.417,0.005
1677,0.0,0.006
1678,0.0,0.024
1679,0.0,0.024
1692,4.4140000000000015,0.021
1693,-141.699,0.022000000000000002
1694,66.816,0.022000000000000002
1695,34.678000000000004,0.024
1696,-216.663,0.027000000000000003
1697,82.47200000000001,0.027999999999999997
1698,32.335,0.027999999999999997
1699,68.849,0.03
1700,132.054,0.01
1701,61.022999999999996,0.01
1702,63.52700000000001,0.01
1703,26.817,0.01
1704,25.061999999999998,0.01
1705,-70.80799999999999,0.01
1706,-83.23100000000001,0.02
1707,-104.72,0.02
1708,51.166999999999994,0.02
1709,-27.912,0.02
1710,-84.884,0.02
1711,-120.08400000000003,0.02
1718,-83.62299999999999,0.002
1719,-124.49199999999999,0.013000000000000001
1733,37.208,0.001
1734,-12.780000000000001,0.001
1735,35.019000000000005,0.004
1736,22.226999999999997,0.004
1737,-11.881,0.004
1738,40.089,0.004
1739,-2.6719999999999997,0.004
1750,5.722,0.013000000000000001
1751,-0.819,0.027000000000000003
1752,11.598999999999998,0.066
1753,-10.395,0.145
1754,-3.9210000000000003,0.23800000000000002
1755,0.309,0.368
1756,0.355,0.8540000000000001
1757,0.10399999999999998,0.889
1758,-3.5039999999999996,1.02
1759,7.167000000000002,1.032
1774,0.0,0.001
1775,0.0,0.016
1776,0.0,0.071
1777,0.0,0.156
1778,0.0,0.233
1779,0.0,0.295
1812,3.583,0.06
1813,9.628,0.2
1814,9.916,0.2
1815,-16.386,0.23
1816,5.6450000000000005,0.24100000000000002
1817,-11.759,0.287
1818,5.865,0.75
1819,3.1479999999999997,0.767
1825,0.0,0.002
1826,0.0,0.001
1827,0.0,0.001
1828,0.0,0.001
1829,0.0,0.001
1830,0.0,0.001
1831,0.0,0.001
1832,0.0,0.001
1833,0.0,0.001
1834,0.0,0.017
1835,0.0,0.139
1836,0.0,1.097
1837,0.0,1.2009999999999998
1838,0.0,1.249
1839,0.0,1.246
1852,25.089,0.001
1853,-8.651,0.001
1854,-37.489,0.006999999999999999
1855,-12.831,0.057
1856,-11.927,0.124
1857,-27.639,0.165
1858,-29.767,0.3
1859,-30.217,0.725
1860,0.0,0.001
1861,0.0,0.001
1862,0.0,0.002
1863,0.0,0.003
1864,0.0,0.003
1865,0.0,0.003
1866,0.0,0.005
1867,0.0,0.024
1868,0.0,0.040999999999999995
1869,0.0,0.16
1870,0.0,0.21100000000000002
1871,0.0,0.28
1872,0.0,0.39299999999999996
1873,0.0,0.479
1874,0.0,0.627
1875,0.0,0.7959999999999999
1876,0.0,0.871
1877,0.0,0.992
1878,0.0,1.006
1879,0.0,1.2409999999999999
1891,351.675,0.001
1892,174.087,0.001
1893,78.53,0.004
1894,5.757000000000001,0.006999999999999999
1895,27.737000000000002,0.006999999999999999
1896,-8.881999999999998,0.008
1897,-79.043,0.008
1898,83.451,0.008
1899,5.1640000000000015,0.008
1911,8.628000000000004,0.001
1912,-6.276999999999999,0.008
1913,-18.880000000000003,0.42
1914,-1.407,1.6159999999999999
1915,2.717,1.982
1916,-19.521,1.82
1917,10.342,1.8559999999999999
1918,-5.449,1.771
1919,-6.9510000000000005,1.796
1932,375.15000000000003,0.024
1933,-118.895,0.039
1934,85.14699999999999,0.042
1935,300.77700000000004,0.129
1936,277.768,0.129
1937,-278.729,0.155
1938,231.672,0.155
1939,-219.724,0.155
1940,0.09300000000000001,0.002
1941,0.0,0.002
1942,0.0,0.002
1943,0.0,0.002
1944,0.0,0.003
1945,0.0,0.004
1946,0.0,0.004
1947,0.0,0.002
1948,0.0,0.002
1949,0.0,0.003
1950,0.0,0.003
1951,-0.09300000000000001,0.003
1952,0.075,0.004
1953,0.11199999999999999,0.004
1954,0.0,0.004
1955,0.019,0.004
1956,-0.019,0.006
1957,0.0,0.099
1958,0.0,0.08
1959,0.0,0.08
1973,4.6610000000000005,0.002
1974,-23.247,0.006
1975,17.653,0.011000000000000001
1976,0.217,0.012
1977,0.006999999999999999,0.013000000000000001
1978,-7.165,0.013000000000000001
1979,2.615,0.013999999999999999
1990,0.0,0.005
1991,0.0,0.006999999999999999
1992,0.0,0.013000000000000001
1993,0.0,0.017
1994,0.0,0.038
1995,0.0,0.069
1996,0.0,0.146
1997,0.0,0.175
1998,0.0,0.237
1999,0.0,0.341
2008,0.0,0.001
2009,0.0,0.004
2010,0.0,0.013000000000000001
2011,0.0,0.066
2012,0.0,0.163
2013,0.0,0.215
2014,0.0,0.257
2015,0.0,0.27399999999999997
2016,0.0,0.267
2017,0.0,0.284
2018,0.0,0.255
2019,0.0,0.255
2022,-22.255,0.021
2023,121.32700000000001,0.021
2024,26.771,0.021
2025,14.995,0.021
2026,-1.4980000000000002,0.021
2027,1.252,0.021
2028,30.433000000000003,0.021
2029,-14.387,0.021
2030,50.733999999999995,0.021
2031,-10.582,0.021
2032,39.211999999999996,0.03
2033,-15.155999999999999,0.05
2034,31.717,1.008
2035,-64.34100000000001,2.136
2036,13.667,3.0069999999999997
2037,-11.374,3.9360000000000004
2038,6.136,4.2410000000000005
2039,6.9060000000000015,4.809
2052,0.0,0.002
2053,39.236999999999995,0.002
2054,31.813000000000002,0.002
2055,-4.355,0.002
2056,-17.323,0.002
2057,2.717,0.003
2058,3.1180000000000003,0.003
2059,6.324,0.003
2060,-2.8489999999999998,0.013999999999999999
2061,-5.559,0.017
2062,-2.082,0.018000000000000002
2063,-6.28,0.02
2064,-2.582,0.024
2065,-3.443,0.048
2066,-4.454,0.125
2067,-4.396,0.515
2068,-17.34,2.5780000000000003
2069,-6.557,6.064
2070,-5.983,7.186
