,fossil_prod_change_twh,solar_electricity,wind_electricity,hydro_electricity
1312,0.0,0.001,0.001,0.997
1313,0.0,0.003,0.004,1.256
1314,0.0,0.006999999999999999,0.006,0.191
1315,0.0,0.015,0.006,0.474
1316,0.0,0.027999999999999997,0.006,0.37799999999999995
1317,0.0,0.040999999999999995,0.006,0.41100000000000003
1318,0.0,0.068,0.006,0.345
1319,0.0,0.08,0.006,0.301
1352,0.0,0.002,0.54,0.423
1353,0.0,0.045,0.603,0.521
1354,0.0,0.073,0.639,0.39899999999999997
1355,0.0,0.073,0.81,0.349
1356,0.0,0.066,1.136,0.45399999999999996
1357,0.0,0.068,1.364,0.602
1358,0.0,0.087,1.1440000000000001,0.431
1359,0.0,0.09,1.4280000000000002,0.353
1363,0.0,0.001,0.026000000000000002,0.079
1364,0.0,0.009000000000000001,0.039,0.10400000000000001
1365,0.0,0.018000000000000002,0.052000000000000005,0.09300000000000001
1366,0.0,0.021,0.057999999999999996,0.111
1367,0.0,0.021,0.064,0.11699999999999999
1368,0.0,0.02,0.061,0.132
1369,0.0,0.02,0.063,0.106
1370,0.0,0.021,0.055,0.10800000000000001
1371,0.0,0.026000000000000002,0.064,0.063
1372,0.0,0.038,0.077,0.098
1373,0.0,0.07400000000000001,0.083,0.11900000000000001
1374,0.0,0.095,0.08,0.10800000000000001
1375,0.0,0.10400000000000001,0.102,0.099
1376,0.0,0.1,0.10099999999999999,0.115
1377,0.0,0.10800000000000001,0.235,0.086
1378,0.0,0.12,0.255,0.09300000000000001
1379,0.0,0.12,0.255,0.09300000000000001
1432,0.0,0.001,0.004,0.073
1433,0.0,0.003,0.004,0.094
1434,0.0,0.025,0.003,0.09
1435,0.0,0.026000000000000002,0.003,0.121
1436,0.0,0.03,0.018000000000000002,0.099
1437,0.0,0.039,0.015,0.08900000000000001
1438,0.0,0.049,0.015,0.124
1439,0.0,0.06,0.015,0.125
1440,53.861000000000004,0.006999999999999999,0.019,32.802
1441,47.440000000000005,0.008,0.018000000000000002,28.217
1442,19.586000000000002,0.008,0.021,24.701
1443,143.534,0.008,0.019,19.680999999999997
1444,60.278000000000006,0.009000000000000001,0.02,24.954
1445,33.88099999999998,0.009000000000000001,0.019,27.381999999999998
1446,3.6889999999999983,0.01,0.059000000000000004,30.09
1447,-129.46800000000002,0.009000000000000001,0.262,27.003
1448,-178.77600000000004,0.009000000000000001,0.26899999999999996,38.786
1449,-75.04400000000001,0.012,0.596,26.445999999999998
1450,-12.008000000000001,0.031,1.237,36.79
1451,20.480999999999998,0.040999999999999995,1.6340000000000001,35.92800000000001
1452,-42.798,0.069,3.667,31.587
1453,-10.013999999999998,0.106,4.168,27.721999999999998
1454,-65.941,0.221,6.351,38.549
1455,-149.25,0.239,8.453,30.614
1456,-123.844,0.46399999999999997,9.935,29.744
1457,-176.73600000000002,1.074,9.913,31.739
1458,-122.116,1.8359999999999999,12.238,32.384
1459,-101.81,6.591,16.837,23.845
1470,56.725,0.008,0.001,0.035
1471,41.445,0.008,0.001,0.052000000000000005
1472,-9.816,0.008,0.001,0.051
1473,11.65,0.009000000000000001,0.054000000000000006,0.059000000000000004
1474,-47.049,0.009000000000000001,0.126,0.065
1475,-1.604,0.009000000000000001,0.154,0.057999999999999996
1476,57.94600000000001,0.009000000000000001,0.154,0.084
1477,76.11399999999998,0.025,0.307,0.084
1478,26.945,0.033,0.34,0.084
1479,13.527999999999999,0.04,0.38,0.09300000000000001
1515,0.0,0.005,2.52,1.8659999999999999
1516,0.0,0.401,3.0,1.242
1517,0.0,0.415,3.035,1.173
1518,0.0,0.95,3.841,1.6769999999999998
1519,0.0,1.581,4.699,1.6369999999999998
1570,0.0,0.006999999999999999,0.001,1.235
1571,0.0,0.008,0.001,1.39
1572,0.0,0.013999999999999999,0.001,1.591
1573,0.0,0.022000000000000002,0.001,1.2590000000000001
1574,0.0,0.028999999999999998,0.001,1.47
1575,0.0,0.039,0.001,1.4869999999999999
1576,0.0,0.057,0.001,1.345
1577,0.0,0.026000000000000002,0.005,1.577
1578,0.0,0.026000000000000002,0.005,1.133
1579,0.0,0.026000000000000002,0.005,1.014
1594,0.004,0.017,0.006,3.7510000000000003
1595,0.019,0.019,0.006,3.418
1596,0.009000000000000001,0.019,0.006,4.195
1597,0.0,0.078,0.006,4.586
1598,0.0,0.078,0.013999999999999999,4.849
1599,0.0,0.08,0.013999999999999999,5.3260000000000005
1600,-15.722000000000001,0.008,0.8290000000000001,0.142
1601,32.861,0.012,0.825,0.11699999999999999
1602,-11.277999999999999,0.016,0.9470000000000001,0.11
1603,-28.028000000000002,0.025,1.32,0.07200000000000001
1604,109.0,0.034,1.871,0.095
1605,-62.833,0.035,2.0669999999999997,0.08800000000000001
1606,-8.306000000000001,0.037000000000000005,2.734,0.106
1607,-25.0,0.038,3.438,0.107
1608,89.056,0.04,4.26,0.102
1609,-54.083,0.045,4.581,0.098
