,fossil_prod_change_twh,solar_electricity,wind_electricity
1058,645.6909999999998,0.091,0.19
1059,289.705,0.098,0.484
1091,0.0,0.001,4.38
1092,0.0,0.001,4.01
1093,0.0,0.001,4.542
1094,0.0,0.002,5.14
1095,0.0,0.003,6.5729999999999995
1096,0.0,0.006,6.147
1097,0.0,0.011000000000000001,7.444
1098,0.0,0.017,8.64
1099,0.0,0.017,9.463
1109,0.0,0.024,0.009000000000000001
1110,0.0,0.07,0.008
1111,0.0,0.192,0.006999999999999999
1112,0.0,0.369,0.006
1113,0.0,0.494,0.006
1114,0.0,0.84,0.006
1115,0.0,1.115,0.006999999999999999
1116,0.0,1.544,0.046
1117,0.0,1.511,0.047
1118,0.0,1.574,0.064
1119,0.0,2.597,0.064
1120,-13.075,0.018000000000000002,0.563
1121,-18.658,0.019,1.179
1122,10.347,0.021,1.4040000000000001
1123,-6.629999999999997,0.024,1.4580000000000002
1124,-10.035,0.028999999999999998,1.847
1125,-1.0819999999999999,0.031,2.343
1126,-14.450000000000001,0.035,2.971
1127,-11.154,0.039,4.034
1128,-12.227999999999998,0.193,4.8610000000000015
1129,-19.534,0.6759999999999999,6.5429999999999975
1130,9.940999999999999,1.906,9.126
1131,2.7439999999999998,10.796,9.856
1132,2.5229999999999997,18.862000000000002,13.407
1133,-7.063999999999999,21.589000000000002,14.897
1134,-2.5209999999999995,22.305999999999997,15.177999999999999
1135,-7.023999999999999,22.941999999999997,14.844000000000001
1136,-29.262,22.104,17.689
1137,2.146,24.378,17.742
1138,5.385,22.654,17.715999999999994
1139,-10.389,24.67,20.319000000000006
1156,0.0,0.013000000000000001,0.19
1157,0.0,0.044000000000000004,0.289
1158,0.0,0.046,0.302
1159,0.0,0.05,0.302
1160,-4.998,0.34700000000000003,0.109
1161,0.449,0.475,0.252
1162,-11.73,0.669,0.415
1163,-0.20199999999999999,0.903,0.833
1164,0.004,1.189,1.31
1165,-1.4409999999999998,1.493,1.754
1166,1.578,1.794,2.21
1167,0.40700000000000003,2.015,2.6239999999999997
1168,-1.253,2.251,2.946
1169,0.33899999999999997,2.758,3.616
1170,-2.33,3.543,4.016
1171,2.272,4.8389999999999995,4.676
1172,0.317,6.6129999999999995,4.838
1173,-0.753,12.879000000000001,5.187
1174,0.6659999999999999,22.951999999999998,5.2170000000000005
1175,-0.8759999999999999,34.803000000000004,5.58
1176,1.087,45.761,6.166
1177,0.308,55.068999999999996,6.49
1178,-2.229,62.668,7.481
1179,-1.8090000000000002,74.52199999999998,8.533999999999999
1195,0.0,0.002,0.121
1196,0.0,0.42100000000000004,0.391
1197,0.0,0.9079999999999999,0.44799999999999995
1198,0.0,1.4409999999999998,0.72
1199,0.0,1.5,1.2
1213,47.684000000000005,0.001,0.005
1214,-39.774,0.09699999999999999,0.013000000000000001
1215,-39.488,0.11800000000000001,0.132
1216,-30.657000000000004,0.136,0.275
1217,148.38299999999998,0.16,0.34
1218,84.95299999999999,0.384,0.461
1219,-16.884999999999998,0.23600000000000002,0.5489999999999999
1227,0.0,0.01,0.001
1228,0.0,0.01,0.001
1229,0.0,0.01,0.016
1230,0.0,0.019,0.018000000000000002
1231,0.0,0.023,0.015
1232,0.0,0.027999999999999997,0.015
1233,0.0,0.031,0.018000000000000002
1234,0.0,0.034,0.04
1235,0.0,0.037000000000000005,0.06
1236,0.0,0.04,0.055999999999999994
1237,0.0,0.057999999999999996,0.061
1238,0.0,0.075,0.376
1239,0.0,0.092,1.5630000000000002
1254,-26.177999999999997,0.003,0.004
1255,-5.104999999999993,0.005,0.004
1256,55.732,0.049,0.004
1257,-91.965,0.049,0.018000000000000002
1258,27.828999999999994,0.066,0.018000000000000002
1259,-17.246,0.14,0.018000000000000002
1298,0.0,0.001,0.122
1299,0.0,0.001,0.14800000000000002
1312,0.0,0.001,0.001
1313,0.0,0.003,0.004
1314,0.0,0.006999999999999999,0.006
1315,0.0,0.015,0.006
1316,0.0,0.027999999999999997,0.006
1317,0.0,0.040999999999999995,0.006
1318,0.0,0.068,0.006
1319,0.0,0.08,0.006
1352,0.0,0.002,0.54
1353,0.0,0.045,0.603
1354,0.0,0.073,0.639
1355,0.0,0.073,0.81
1356,0.0,0.066,1.136
1357,0.0,0.068,1.364
1358,0.0,0.087,1.1440000000000001
1359,0.0,0.09,1.4280000000000002
1363,0.0,0.001,0.026000000000000002
1364,0.0,0.009000000000000001,0.039
1365,0.0,0.018000000000000002,0.052000000000000005
1366,0.0,0.021,0.057999999999999996
1367,0.0,0.021,0.064
1368,0.0,0.02,0.061
1369,0.0,0.02,0.063
1370,0.0,0.021,0.055
1371,0.0,0.026000000000000002,0.064
1372,0.0,0.038,0.077
1373,0.0,0.07400000000000001,0.083
1374,0.0,0.095,0.08
1375,0.0,0.10400000000000001,0.102
1376,0.0,0.1,0.10099999999999999
1377,0.0,0.10800000000000001,0.235
1378,0.0,0.12,0.255
1379,0.0,0.12,0.255
1432,0.0,0.001,0.004
1433,0.0,0.003,0.004
1434,0.0,0.025,0.003
1435,0.0,0.026000000000000002,0.003
1436,0.0,0.03,0.018000000000000002
1437,0.0,0.039,0.015
1438,0.0,0.049,0.015
1439,0.0,0.06,0.015
1440,53.861000000000004,0.006999999999999999,0.019
1441,47.440000000000005,0.008,0.018000000000000002
1442,19.586000000000002,0.008,0.021
1443,143.534,0.008,0.019
1444,60.278000000000006,0.009000000000000001,0.02
1445,33.88099999999998,0.009000000000000001,0.019
1446,3.6889999999999983,0.01,0.059000000000000004
1447,-129.46800000000002,0.009000000000000001,0.262
1448,-178.77600000000004,0.009000000000000001,0.26899999999999996
1449,-75.04400000000001,0.012,0.596
1450,-12.008000000000001,0.031,1.237
1451,20.480999999999998,0.040999999999999995,1.6340000000000001
1452,-42.798,0.069,3.667
1453,-10.013999999999998,0.106,4.168
1454,-65.941,0.221,6.351
1455,-149.25,0.239,8.453
1456,-123.844,0.46399999999999997,9.935
1457,-176.73600000000002,1.074,9.913
1458,-122.116,1.8359999999999999,12.238
1459,-101.81,6.591,16.837
1470,56.725,0.008,0.001
1471,41.445,0.008,0.001
1472,-9.816,0.008,0.001
1473,11.65,0.009000000000000001,0.054000000000000006
1474,-47.049,0.009000000000000001,0.126
1475,-1.604,0.009000000000000001,0.154
1476,57.94600000000001,0.009000000000000001,0.154
1477,76.11399999999998,0.025,0.307
1478,26.945,0.033,0.34
1479,13.527999999999999,0.04,0.38
1515,0.0,0.005,2.52
1516,0.0,0.401,3.0
1517,0.0,0.415,3.035
1518,0.0,0.95,3.841
1519,0.0,1.581,4.699
1570,0.0,0.006999999999999999,0.001
1571,0.0,0.008,0.001
1572,0.0,0.013999999999999999,0.001
1573,0.0,0.022000000000000002,0.001
1574,0.0,0.028999999999999998,0.001
1575,0.0,0.039,0.001
1576,0.0,0.057,0.001
1577,0.0,0.026000000000000002,0.005
1578,0.0,0.026000000000000002,0.005
1579,0.0,0.026000000000000002,0.005
1594,0.004,0.017,0.006
1595,0.019,0.019,0.006
1596,0.009000000000000001,0.019,0.006
1597,0.0,0.078,0.006
1598,0.0,0.078,0.013999999999999999
1599,0.0,0.08,0.013999999999999999
1600,-15.722000000000001,0.008,0.8290000000000001
1601,32.861,0.012,0.825
1602,-11.277999999999999,0.016,0.9470000000000001
1603,-28.028000000000002,0.025,1.32
1604,109.0,0.034,1.871
1605,-62.833,0.035,2.0669999999999997
1606,-8.306000000000001,0.037000000000000005,2.734
1607,-25.0,0.038,3.438
1608,89.056,0.04,4.26
1609,-54.083,0.045,4.581
1610,97.667,0.055999999999999994,3.9930000000000003
1611,-57.693999999999996,0.10400000000000001,5.1
1612,-10.944,0.191,4.982
1613,40.028,0.41,5.6270000000000024
1614,-120.195,0.725,5.7970000000000015
1615,-145.139,1.109,7.55
1616,-15.860999999999999,1.6019999999999999,8.17
1617,-57.583,2.208,10.569
1618,-62.306000000000004,3.693,10.564
1619,-42.07,5.32,11.523
1630,6.263999999999999,0.004,1.621
1631,-2.972,0.004,1.9380000000000002
1632,-0.276,0.005,2.0580000000000003
1633,-1.8019999999999998,0.006999999999999999,2.002
1634,-4.831,0.018000000000000002,2.189
1635,-4.9910000000000005,0.036000000000000004,2.34
1636,-3.825,0.055999999999999994,2.307
1637,0.245,0.075,2.066
1638,2.247,0.098,2.0469999999999997
1639,-1.306,0.12300000000000001,2.222
1649,0.0,0.004,0.11
1650,0.0,0.005,0.16
1651,0.0,0.006,0.21
1652,0.0,0.009000000000000001,0.33
1653,0.0,0.001,0.562
1654,0.0,0.001,0.85
1655,0.0,0.002,0.865
1656,0.0,0.002,0.7290000000000001
1657,0.0,0.013999999999999999,0.635
1658,0.0,0.02,0.8009999999999999
1659,0.0,0.022000000000000002,0.73
1692,4.4140000000000015,0.021,0.002
1693,-141.699,0.022000000000000002,0.002
1694,66.816,0.022000000000000002,0.003
1695,34.678000000000004,0.024,0.003
1696,-216.663,0.027000000000000003,0.003
1697,82.47200000000001,0.027999999999999997,0.003
1698,32.335,0.027999999999999997,0.003
1699,68.849,0.03,0.003
1700,132.054,0.01,0.031
1701,61.022999999999996,0.01,0.027000000000000003
1702,63.52700000000001,0.01,0.075
1703,26.817,0.01,0.218
1704,25.061999999999998,0.01,0.252
1705,-70.80799999999999,0.01,0.499
1706,-83.23100000000001,0.02,0.636
1707,-104.72,0.02,0.892
1708,51.166999999999994,0.02,0.9129999999999999
1709,-27.912,0.02,0.977
1710,-84.884,0.02,0.879
1711,-120.08400000000003,0.02,1.2830000000000001
1718,-83.62299999999999,0.002,3.8760000000000003
1719,-124.49199999999999,0.013000000000000001,5.53
1750,5.722,0.013000000000000001,0.01
1751,-0.819,0.027000000000000003,0.018000000000000002
1753,-10.395,0.145,0.4
1754,-3.9210000000000003,0.23800000000000002,0.8
1755,0.309,0.368,0.7859999999999999
1756,0.355,0.8540000000000001,1.409
1757,0.10399999999999998,0.889,2.101
