,fossil_production,gdp
678,0.0,
679,0.0,
680,66.148,6272033792.0
681,108.62200000000001,10537450496.0
682,128.905,12666031104.0
683,147.719,14383024128.0
684,192.3,17827053568.0
685,202.829,19420317696.0
686,200.24400000000003,20678426624.0
687,205.862,24137400320.0
688,204.13099999999997,28732088320.0
689,181.615,29462984704.0
690,167.84,27185108992.0
691,164.577,29285787648.0
692,176.06400000000005,28326311936.0
693,153.67,30229760000.0
694,154.187,28593364992.0
695,141.017,26485563392.0
696,120.958,23897874432.0
697,104.10799999999999,
698,100.988,
699,95.149,
700,0.0,
701,0.0,
702,0.0,
703,0.0,
704,0.0,
705,0.0,
706,0.0,
707,0.0,
708,0.0,
709,0.0,
710,0.0,
711,0.0,
712,0.0,
713,0.0,
714,0.0,
715,0.0,
716,0.0,
717,0.0,
718,0.0,
719,0.0,
720,0.0,16247595008.0
721,0.0,17008637952.0
722,0.0,18237091840.0
723,0.0,19056140288.0
724,0.0,20073240576.0
725,0.0,22335879168.0
726,0.0,24778964992.0
727,0.0,27692089344.0
728,0.0,27294081024.0
729,0.0,25280647168.0
730,0.0,25912016896.0
731,0.0,28530108416.0
732,0.0,30716508160.0
733,0.0,31826479104.0
734,0.0,32669839360.0
735,0.0,33140150272.0
736,0.0,33684649984.0
737,0.0,
738,0.0,
739,0.0,
740,0.0,42410430464.0
741,0.0,47945699328.0
742,0.0,43955625984.0
743,0.0,47835451392.0
744,0.0,51512844288.0
745,0.0,62126407680.0
746,0.0,63036678144.0
747,0.0,75917934592.0
748,0.0,86960791552.0
749,0.0,84748247040.0
750,0.0,97815052288.0
751,0.0,115000000000.0
752,0.0,127000000000.0
753,0.0,138000000000.0
754,0.0,155000000000.0
755,0.0,170000000000.0
756,0.0,184000000000.0
757,0.0,
758,0.0,
759,0.0,
760,0.0,171000000000.0
761,0.0,173000000000.0
762,0.0,175000000000.0
763,0.0,174000000000.0
764,0.0,183000000000.0
765,0.0,188000000000.0
766,0.0,195000000000.0
767,0.0,210000000000.0
768,0.0,214000000000.0
769,0.0,202000000000.0
770,0.0,204000000000.0
771,0.0,207000000000.0
772,0.0,210000000000.0
773,0.0,206000000000.0
774,0.0,207000000000.0
775,0.0,208000000000.0
776,0.0,211000000000.0
777,0.0,
778,0.0,
779,0.0,
780,0.0,1930000000000.0
781,0.0,2010000000000.0
782,0.0,2050000000000.0
783,0.0,1960000000000.0
784,0.0,2020000000000.0
785,0.0,2110000000000.0
786,0.0,2170000000000.0
787,0.0,2290000000000.0
788,0.0,2300000000000.0
789,0.0,2280000000000.0
790,0.0,2330000000000.0
791,0.0,2390000000000.0
792,0.0,2410000000000.0
793,0.0,2500000000000.0
794,0.0,2530000000000.0
795,0.0,2560000000000.0
796,0.0,2600000000000.0
797,0.0,
798,0.0,
799,0.0,
800,160.453,12980471808.0
801,151.898,11551707136.0
802,148.41899999999995,12494300160.0
803,158.855,13883195392.0
804,158.709,16935424000.0
805,156.727,22985140224.0
806,140.268,22016014336.0
807,142.364,23239215104.0
808,139.276,27324567552.0
