Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Portugal,  2.5,  1.7,  2.1,  1.7,  1.7,  1.6,  1.6,  1.7,  1.7,  1.7,  1.4,  1.2,  1.6,  1.4,  2.9,  5.5,  7.1,  8.2,  9.7,  10.9,  11.4,  11.7,  12.5,  13.9,  14.2,  13.7,  13.7,  12.6,  15.0,  15.0,  12.7,  13.8,  13.0,  13.2,  13.5,  13.3,  11.5,  10.0,  11.4,  6.6,  8.9,  11.6,  10.6,  10.7,  13.0,  11.3,  12.9,  10.7,  5.0,  2.3
Slovak Republic,  24.4,  24.4,  24.4,  24.1,  24.4,  23.7,  24.3,  28.2,  27.3,  33.1,  32.1,  32.7,  33.0,  34.7,  34.4,  31.7,  33.3,  34.7,  33.4,  31.7,  28.2,  24.9,  24.1,  21.2,  21.7,  20.7,  19.7,  18.1,  17.4,  16.4,  16.7,  15.9,  17.7,  17.0,  16.1,  16.7,  16.2,  15.7,  14.9,  14.5,  14.2,  13.2,  13.1,  12.7,  12.1,  11.9,  12.5,  12.4,  10.2,  8.1
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,  6.7,  6.1,  6.3,  6.1,  5.6,  5.8,  5.5,  5.9,  6.2,  5.6,  5.7,  6.1,  6.6,  6.1,  6.2,  6.3,  6.4,  6.5,  6.4,  5.9,  6.0,  6.1,  5.8,  5.6,  4.4,  4.5,  4.8,  4.8,  4.6,  4.4,  4.3
Spain,  38.7,  39.5,  37.2,  36.2,  39.1,  37.5,  41.9,  37.6,  41.5,  49.3,  60.0,  67.4,  71.8,  72.8,  71.2,  73.9,  72.1,  62.0,  76.7,  75.7,  75.9,  80.6,  71.8,  71.5,  73.3,  61.3,  69.8,  67.2,  76.9,  83.9,  76.0,  85.8,  79.6,  82.1,  82.3,  70.9,  80.5,  54.7,  41.7,  32.6,  51.6,  60.1,  44.9,  47.7,  53.5,  39.6,  49.8,  42.0,  18.3,  10.4
Sweden,  5.6,  4.6,  6.4,  6.7,  7.0,  6.1,  5.0,  5.4,  5.9,  5.5,  4.8,  5.5,  7.4,  9.0,  10.8,  11.5,  11.5,  11.2,  10.4,  10.6,  11.0,  10.0,  10.0,  9.7,  9.6,  11.3,  9.2,  9.0,  8.7,  8.3,  8.6,  10.1,  10.8,  11.2,  10.1,  9.2,  9.1,  9.1,  6.4,  9.2,  8.5,  7.3,  7.6,  6.8,  6.9,  6.6,  6.8,  7.0,  6.5,  5.1
Switzerland,  2.0,  1.6,  1.6,  1.5,  1.0,  0.9,  1.0,  0.9,  1.0,  1.4,  2.0,  1.8,  1.6,  2.1,  2.1,  1.8,  1.7,  1.4,  1.5,  1.4,  1.2,  0.9,  0.7,  0.7,  0.8,  0.6,  0.5,  0.4,  0.4,  0.6,  0.6,  0.5,  0.6,  0.5,  0.6,  0.6,  0.7,  0.7,  0.6,  0.6,  0.6,  0.5,  0.5,  0.6,  0.5,  0.5,  0.5,  0.4,  0.4,  0.4
Turkey,  16.8,  20.4,  19.6,  21.1,  21.7,  24.1,  23.8,  24.9,  25.9,  28.3,  28.8,  32.2,  35.3,  40.2,  47.5,  52.4,  56.5,  52.0,  58.0,  62.4,  66.7,  67.3,  63.6,  62.7,  65.7,  76.1,  83.6,  85.3,  78.6,  92.6,  77.1,  80.7,  85.5,  89.0,  89.7,  106.5,  120.6,  117.3,  121.6,  127.3,  132.6,  140.1,  121.3,  134.1,  136.8,  153.1,  158.2,  162.8,  164.9,  158.7
United Kingdom,  358.9,  305.0,  323.9,  285.8,  284.3,  286.7,  288.1,  274.2,  298.7,  275.4,  276.0,  257.7,  257.7,  186.3,  245.5,  262.3,  268.7,  260.4,  249.1,  249.4,  249.0,  235.9,  207.2,  194.0,  181.1,  172.2,  152.6,  151.9,  135.9,  143.8,  153.4,  144.1,  154.8,  149.3,  151.0,  164.7,  153.6,  138.4,  113.2,  116.5,  117.4,  148.8,  140.9,  113.7,  90.2,  46.5,  37.5,  31.6,  23.0,  20.5
OECD Europe, 1 745.0, 1 668.3, 1 703.6, 1 680.4, 1 599.3, 1 686.6, 1 686.1, 1 709.4, 1 804.2, 1 819.7, 1 794.7, 1 804.3, 1 808.2, 1 809.1, 1 897.3, 1 882.0, 1 903.0, 1 866.9, 1 848.1, 1 764.1, 1 703.0, 1 590.1, 1 499.5, 1 472.1, 1 451.7, 1 461.1, 1 398.4, 1 352.2, 1 279.9, 1 323.5, 1 309.3, 1 305.7, 1 355.2, 1 340.4, 1 306.9, 1 347.0, 1 368.5, 1 263.6, 1 137.7, 1 193.2, 1 204.0, 1 256.4, 1 214.1, 1 148.4, 1 125.0, 1 056.8, 1 038.1,  998.2,  835.9,  701.9
Albania,  1.2,  1.3,  1.4,  1.5,  1.6,  1.6,  1.7,  2.2,  2.8,  2.5,  2.7,  3.0,  3.3,  3.6,  3.8,  3.7,  3.9,  3.9,  3.8,  2.5,  1.5,  0.4,  0.2,  0.2,  0.1,  0.1,  0.0,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.4,  0.5,  0.6,  0.3,  0.3,  0.4,  0.4,  0.2,  0.5,  0.9,  0.5,  0.6
